Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
Male,22,I Study 4 hours daily on average,2,1,2,4.0
Male,22,I study less than 4 hours a day,0,0,2,3.5
Male,22,"I Study 4 hours daily on average, I study more than 4 hours a day",1,0,0,2.75
Male,22,I Study 4 hours daily on average,2,3,3,3.5
Male,22,I study more than 4 hours a day,2,3,3,2.25
Male,22,I study less than 4 hours a day,1,2,3,2.25
Male,22,I study more than 4 hours a day,1,3,3,3.0
Male,19,I Study 4 hours daily on average,2,2,0,4.0
Male,19,I Study 4 hours daily on average,2,3,3,4.0
Male,22,I study less than 4 hours a day,2,0,2,3.5
Female,16,I Study 4 hours daily on average,2,3,3,4.0
Male,22,I study less than 4 hours a day,1,3,3,3.25
Male,19,"I copy the assignment of friends, I study only when there is exam, I study less than 4 hours a day",2,1,1,2.75
Male,22,I study less than 4 hours a day,2,2,3,4.0
Male,22,I study only when there is exam,1,2,2,3.5
Male,19,I study more than 4 hours a day,0,1,0,4.0
Male,22,I study less than 4 hours a day,1,3,3,3.75
Female,22,I study less than 4 hours a day,2,2,2,3.25
Female,19,I Study 4 hours daily on average,2,3,3,3.25
Female,19,I study less than 4 hours a day,2,1,1,2.75
Female,22,"I copy the assignment of friends, I study only when there is exam, I study less than 4 hours a day",2,3,3,3.75
Female,22,I study less than 4 hours a day,2,2,2,3.75
Female,22,I study only when there is exam,3,2,2,3.75
Female,19,"I copy the assignment of friends, I am disturbed when studying, I prefer social media more than study, I study only when there is exam, I study less than 4 hours a day",1,2,3,3.0
Female,22,I study less than 4 hours a day,2,2,2,3.75
Male,22,I study only when there is exam,1,2,1,3.5
Male,28,"I copy the assignment of friends, I Study 4 hours daily on average, I study only when there is exam",2,2,2,4.0
Male,28,"I prefer social media more than study, I study only when there is exam, I study less than 4 hours a day",1,2,1,3.75
Male,25,"I copy the assignment of friends, I prefer social media more than study, I study only when there is exam, I study more than 4 hours a day",1,1,1,3.5
Male,22,I study less than 4 hours a day,1,2,3,3.25
Male,22,"I study only when there is exam, I study less than 4 hours a day",2,3,3,3.75
Female,22,"I copy the assignment of friends, I am disturbed when studying, I prefer social media more than study, I study only when there is exam, I study less than 4 hours a day",1,2,1,2.5
Male,19,"I am disturbed when studying, I prefer social media more than study, I study only when there is exam, I study less than 4 hours a day",1,2,2,3.75
Male,19,I study less than 4 hours a day,1,0,0,4.0
Male,22,I study less than 4 hours a day,1,1,2,3.0
Male,22,"I copy the assignment of friends, I am disturbed when studying, I prefer social media more than study, I study only when there is exam, I study less than 4 hours a day",1,2,2,2.5
Male,22,I Study 4 hours daily on average,1,2,3,3.75
Male,22,I study less than 4 hours a day,2,3,3,3.75
