,Gender,Age,hours_studied,economic_stutus,mothers_education,fathers_education,result
0,1,22,4.0,2,1,2,4.0
1,1,22,3.0,0,0,2,3.5
2,1,22,4.5,1,0,0,2.75
3,1,22,4.0,2,3,3,3.5
4,1,22,4.5,2,3,3,2.25
5,1,22,3.0,1,2,3,2.25
6,1,22,4.5,1,3,3,3.0
7,1,19,4.0,2,2,0,4.0
8,1,19,4.0,2,3,3,4.0
9,1,22,3.0,2,0,2,3.5
10,0,16,4.0,2,3,3,4.0
11,1,22,3.0,1,3,3,3.25
12,1,19,2.5,2,1,1,2.75
13,1,22,3.0,2,2,3,4.0
14,1,22,3.0,1,2,2,3.5
15,1,19,4.5,0,1,0,4.0
16,1,22,3.0,1,3,3,3.75
17,0,22,3.0,2,2,2,3.25
18,0,19,4.0,2,3,3,3.25
19,0,19,3.0,2,1,1,2.75
20,0,22,2.5,2,3,3,3.75
21,0,22,3.0,2,2,2,3.75
22,0,22,3.0,3,2,2,3.75
23,0,19,3.5,1,2,3,3.0
25,1,22,3.0,1,2,1,3.5
26,1,28,4.0,2,2,2,4.0
27,1,28,3.0,1,2,1,3.75
28,1,25,4.5,1,1,1,3.5
29,1,22,3.0,1,2,3,3.25
30,1,22,3.0,2,3,3,3.75
31,0,22,3.5,1,2,1,2.5
32,1,19,3.5,1,2,2,3.75
33,1,19,3.0,1,0,0,4.0
34,1,22,3.0,1,1,2,3.0
35,1,22,3.5,1,2,2,2.5
36,1,22,4.0,1,2,3,3.75
37,1,22,3.0,2,3,3,3.75
38,1,22,4.5,1,2,3,3.75
39,1,22,3.0,1,2,3,4.0
40,1,22,2.5,1,1,1,3.5
41,1,22,3.5,1,2,2,3.25
42,1,22,2.5,1,0,1,3.0
43,1,22,4.0,0,1,1,3.75
44,1,22,4.5,2,2,3,4.0
45,1,22,3.0,1,0,1,3.75
46,1,22,2.5,2,3,3,3.25
47,1,22,4.0,0,0,0,3.75
48,1,22,4.0,2,2,2,3.5
49,1,25,4.5,1,1,1,3.75
50,1,19,3.0,2,2,2,3.25
51,1,22,3.0,2,2,2,3.5
52,0,19,3.0,2,3,3,3.75
53,1,19,3.5,2,3,3,2.75
54,1,22,3.5,2,1,2,3.0
55,1,22,3.0,0,1,2,3.0
56,0,22,3.0,2,2,3,2.75
57,1,25,3.5,1,2,3,3.5
58,1,22,3.0,2,3,3,4.0
59,1,22,4.0,1,2,1,2.25
61,1,22,3.0,1,2,3,3.75
63,1,22,4.0,1,2,2,3.75
64,1,22,4.0,1,2,1,3.0
65,1,22,3.0,2,3,3,4.0
66,1,22,3.0,1,2,1,2.5
67,1,22,3.0,0,3,3,2.75
68,0,19,3.0,2,2,2,3.25
69,1,22,2.5,2,2,3,3.25
70,1,22,3.0,2,3,3,3.75
71,1,19,3.0,0,2,0,4.0
72,0,22,3.0,2,3,3,3.0
73,1,19,3.0,0,1,1,3.75
74,1,19,3.0,1,2,3,3.5
75,1,19,3.5,2,2,3,3.0
76,0,22,3.0,2,2,3,4.0
78,1,19,3.0,2,2,3,4.0
79,1,22,3.0,0,1,2,3.75
80,1,22,4.5,1,0,0,3.0
81,0,19,3.0,1,3,3,3.25
82,0,19,5.0,1,2,3,3.75
83,1,22,3.0,2,2,2,3.75
84,1,19,3.0,1,0,0,3.75
85,0,22,3.0,2,2,3,3.5
86,0,19,3.0,2,2,3,4.0
87,1,22,4.0,0,3,3,3.75
88,0,19,3.0,2,0,0,3.75
89,0,19,4.5,2,1,1,3.5
90,1,22,3.0,1,1,2,2.5
92,1,22,4.0,1,1,2,4.0
93,1,22,3.0,1,1,1,3.25
94,1,22,5.0,2,2,2,3.5
95,1,22,2.5,1,2,2,3.5
96,1,22,4.0,0,2,3,2.5
97,1,19,4.0,0,0,0,3.75
98,1,19,3.0,1,2,2,4.0
99,1,22,4.5,2,0,0,3.0
100,0,15,4.5,2,2,2,3.75
101,1,22,4.5,1,2,3,3.25
103,0,19,4.0,2,2,3,3.75
104,1,22,3.0,0,1,2,2.0
105,1,22,2.5,2,0,1,3.5
106,1,22,4.5,1,2,3,3.5
107,1,22,3.0,0,1,1,3.25
108,1,28,2.5,2,1,1,3.0
109,1,22,4.0,0,2,2,3.5
110,1,25,3.0,1,2,1,3.5
111,1,22,4.0,2,1,1,3.75
112,1,22,3.0,2,1,2,3.75
113,1,22,3.0,2,1,1,3.75
114,1,22,4.5,2,2,2,3.75
115,1,22,3.5,1,1,1,4.0
116,1,22,3.5,2,3,3,3.75
117,1,19,3.5,0,1,2,3.75
118,1,19,3.0,0,2,3,4.0
119,1,22,2.5,1,3,3,3.5
120,1,19,2.5,2,2,3,4.0
121,1,19,2.5,1,1,0,3.75
122,1,22,3.0,1,1,1,0.0
123,1,22,3.0,2,2,3,3.5
124,1,19,3.0,1,1,1,3.75
125,1,22,3.0,2,3,3,3.5
126,1,19,4.0,1,1,3,4.0
127,1,22,4.5,0,1,1,3.75
128,0,19,3.0,3,3,1,4.0
129,1,19,3.5,0,1,3,3.75
130,1,22,3.5,1,1,3,3.0
131,1,19,2.5,2,2,3,3.25
132,1,19,3.5,0,0,1,4.0
